channel_id,site_store,region,store_type,urbanization,b2b_b2c
ST,60002568,KVMB,Siêu thị,Nội thành,B2B
ST,60002569,KVMB,Siêu thị,Nội thành,B2B
ST,60002691,KVMB,Siêu thị,Nội thành,B2B
ST,60002692,KVMB,Siêu thị,Nội thành,B2B
ST,60002840,KVMB,Siêu thị,Nội thành,B2B
ST,60002841,KVMB,Siêu thị,Nội thành,B2B
ST,60002918,KVMB,Siêu thị,Nội thành,B2B
ST,60002923,KVMB,Siêu thị,Nội thành,B2B
ST,60003004,KVMB,Siêu thị,Nội thành,B2B
ST,60003035,KVMB,Siêu thị,Nội thành,B2B
ST,60003133,KVMB,Siêu thị,Nội thành,B2B
ST,60003285,KVMB,Siêu thị,Nội thành,B2B
ST,60003315,KVMB,Siêu thị,Nội thành,B2B
ST,60003376,KVMB,Siêu thị,Nội thành,B2B
ST,60003382,KVMB,Siêu thị,Nội thành,B2B
ST,60003385,KVMB,Siêu thị,Nội thành,B2B
ST,60003400,KVMB,Siêu thị,Nội thành,B2B
ST,60003455,KVMB,Siêu thị,Nội thành,B2B
ST,60003501,KVMB,Siêu thị,Nội thành,B2B
ST,60001228,KVMB,Siêu thị,Nội thành,B2B
ST,60001260,KVMTR,Siêu thị,Nội thành,B2B
ST,60001280,KVMTR,Siêu thị,Nội thành,B2B
ST,60001284,KVMTR,Siêu thị,Nội thành,B2B
ST,60001327,KVMTR,Siêu thị,Nội thành,B2B
ST,60001329,KVMTR,Siêu thị,Nội thành,B2B
ST,60001347,KVMTR,Siêu thị,Nội thành,B2B
ST,60001386,KVMB,Siêu thị,Nội thành,B2B
ST,60001427,KVMTR,Siêu thị,Nội thành,B2B
ST,60002138,KVMB,Siêu thị,Nội thành,B2B
ST,60002326,KVMB,Siêu thị,Nội thành,B2B
ST,60002975,KVMTR,Siêu thị,Nội thành,B2B
ST,60003003,KVMTR,Siêu thị,TT hành chính kinh tế,B2B
ST,60003135,KVMTR,Siêu thị,Nông thôn,B2B
ST,60000681,KVMT,Siêu thị,Nội thành,B2B
ST,60000743,KVMT,Siêu thị,TT hành chính kinh tế,B2B
ST,60000811,KVMT,Siêu thị,Nội thành,B2B
ST,60000837,KVMT,Siêu thị,Nội thành,B2B
ST,60000909,KVMT,Siêu thị,Nội thành,B2B
ST,60002157,KVMT,Siêu thị,Nội thành,B2B
ST,60002166,KVMT,Siêu thị,Nội thành,B2B
ST,60002229,KVMT,Siêu thị,Nội thành,B2B
ST,60002230,KVMT,Siêu thị,Nội thành,B2B
ST,60002440,KVMT,Siêu thị,Nội thành,B2B
ST,60002715,KVMT,Siêu thị,Nội thành,B2B
ST,60003011,KVMT,Siêu thị,TT hành chính kinh tế,B2B
ST,60003061,KVMT,Siêu thị,Nội thành,B2B
ST,60003110,KVMT,Siêu thị,Nội thành,B2B
ST,60003132,KVMT,Siêu thị,Nội thành,B2B
ST,60003320,KVMT,Siêu thị,Nông thôn,B2B
ST,60003321,KVMT,Siêu thị,Nội thành,B2B
ST,60003471,KVMT,Siêu thị,Nông thôn,B2B
ST,60003497,KVMT,Siêu thị,Nông thôn,B2B
ST,60003550,KVMT,Siêu thị,Nông thôn,B2B
ST,60000924,KVTN,Siêu thị,Nội thành,B2B
ST,60000928,KVTN,Siêu thị,Nội thành,B2B
ST,60001143,KVTN,Siêu thị,Nội thành,B2B
ST,60001194,KVTN,Siêu thị,Nội thành,B2B
ST,60002015,KVTN,Siêu thị,Nội thành,B2B
ST,60002150,KVTN,Siêu thị,Nội thành,B2B
ST,60002394,KVTN,Siêu thị,Nội thành,B2B
ST,60002422,KVTN,Siêu thị,Nội thành,B2B
ST,60002545,KVTN,Siêu thị,Nội thành,B2B
ST,60002690,KVTN,Siêu thị,Nội thành,B2B
ST,60002843,KVTN,Siêu thị,Nông thôn,B2B
ST,60002849,KVTN,Siêu thị,Nội thành,B2B
ST,60003063,KVTN,Siêu thị,Nội thành,B2B
ST,60003225,KVTN,Siêu thị,Nội thành,B2B
ST,60003257,KVTN,Siêu thị,Nông thôn,B2B
ST,60003270,KVTN,Siêu thị,Nội thành,B2B
ST,60003530,KVTN,Siêu thị,Nông thôn,B2B
ST,60003590,KVMN,Siêu thị,Nội thành,B2B
ST,60003595,KVMN,Siêu thị,Nội thành,B2B
ST,60003652,KVMN,Siêu thị,Nội thành,B2B
ST,60003653,KVMN,Siêu thị,Nội thành,B2B
ST,60003657,KVMN,Siêu thị,Nội thành,B2B
ST,60003658,KVMN,Siêu thị,Nội thành,B2B
ST,60003659,KVMN,Siêu thị,Nội thành,B2B
ST,60003686,KVMN,Siêu thị,Nông thôn,B2B
ST,60003687,KVMN,Siêu thị,Nội thành,B2B
ST,60003691,KVMN,Siêu thị,Nông thôn,B2B
ST,60003641,KVMB,Siêu thị,Nội thành,B2B
ST,60003642,KVMB,Siêu thị,Nội thành,B2B
ST,60003643,KVMB,Siêu thị,Nội thành,B2B
ST,60003644,KVMB,Siêu thị,Nội thành,B2B
ST,60003656,KVMB,Siêu thị,Nội thành,B2B
ST,60003560,KVMTR,Siêu thị,Nội thành,B2B
ST,60003685,KVMT,Siêu thị,Nội thành,B2B
ST,60003689,KVTN,Siêu thị,Nông thôn,B2B
ST,60002760,KVMN,Siêu thị,Nội thành,B2B
ST,60003295,KVMN,Siêu thị,Nội thành,B2B
ST,60003741,KVMN,Siêu thị,Nội thành,B2B
ST,60003697,KVMTR,Siêu thị,Nội thành,B2B
ST,60003695,KVMT,Siêu thị,Nội thành,B2B
ST,60003715,KVTN,Siêu thị,Nội thành,B2B
ST,60003790,KVMN,Siêu thị,Nội thành,B2B
ST,60000544,KVMN,Siêu thị,Khác,B2B
ST,60001398,KVMN,Siêu thị,Khác,B2B
ST,60001408,KVMN,Siêu thị,Khác,B2B
ST,60002205,KVMN,Siêu thị,Khác,B2B
ST,60002222,KVMN,Siêu thị,Khác,B2B
ST,60002473,KVMN,Siêu thị,Khác,B2B
ST,60002164,KVMB,Siêu thị,Khác,B2B
ST,60002470,KVMB,Siêu thị,Khác,B2B
ST,60002685,KVMB,Siêu thị,Khác,B2B
ST,60002844,KVMB,Siêu thị,Khác,B2B
ST,60001411,KVMT,Siêu thị,Khác,B2B
ST,60001392,KVTN,Siêu thị,Khác,B2B
ST,60000009,KVMN,Siêu thị,Khác,B2B
ST,60002836,KVMB,Siêu thị,Khác,B2B
ST,60002740,KVMN,Siêu thị,Khác,B2B
ST,60002410,KVMB,Siêu thị,Khác,B2B
ST,60002555,KVMB,Siêu thị,Khác,B2B
ST,60002558,KVMB,Siêu thị,Khác,B2B
ST,60002646,KVMB,Siêu thị,Khác,B2B
ST,60002837,KVMB,Siêu thị,Khác,B2B
ST,60002838,KVMB,Siêu thị,Khác,B2B
ST,60002839,KVMB,Siêu thị,Khác,B2B
ST,60002847,KVMB,Siêu thị,Khác,B2B
ST,60003032,KVMB,Siêu thị,Khác,B2B
ST,60003054,KVMB,Siêu thị,Khác,B2B
ST,60003174,KVMB,Siêu thị,Khác,B2B
ST,60003186,KVMB,Siêu thị,Khác,B2B
ST,60002562,KVMB,Siêu thị,Khác,B2B
ST,60002846,KVTN,Siêu thị,Khác,B2B
ST,60003190,KVMB,Siêu thị,Khác,B2B
ST,60003261,KVMT,Siêu thị,Khác,B2B
ST,60003025,KVMB,Siêu thị,Khác,B2B
ST,60002899,KVMN,Siêu thị,Khác,B2B
ST,60002905,KVMN,Siêu thị,Khác,B2B
ST,60002916,KVMB,Siêu thị,Khác,B2B
ST,60002917,KVMB,Siêu thị,Khác,B2B
ST,60002920,KVMB,Siêu thị,Khác,B2B
ST,60002928,KVTN,Siêu thị,Khác,B2B
ST,60002946,KVMB,Siêu thị,Khác,B2B
ST,60002947,KVMB,Siêu thị,Khác,B2B
ST,60002950,KVMT,Siêu thị,Khác,B2B
ST,60002951,KVMN,Siêu thị,Khác,B2B
ST,60002965,KVMB,Siêu thị,Khác,B2B
ST,60002973,KVMN,Siêu thị,Khác,B2B
ST,60003000,KVMN,Siêu thị,Khác,B2B
ST,60003014,KVMT,Siêu thị,Khác,B2B
ST,60003044,KVMB,Siêu thị,Khác,B2B
ST,60003045,KVMN,Siêu thị,Khác,B2B
ST,60003083,KVTN,Siêu thị,Khác,B2B
ST,60003086,KVMN,Siêu thị,Khác,B2B
ST,60003087,KVMN,Siêu thị,Khác,B2B
ST,60003811,KVMB,Siêu thị,Khác,B2B
ST,60003817,KVMT,Siêu thị,Khác,B2B
TGPP,40000119,KVMN,Khác,Khác,B2B
TGPP,40000139,KVMN,Khác,Khác,B2B
TGPP,60000013,KVMN,Độc lập,Nội thành,B2B
TGPP,60000014,KVMN,Độc lập,Nội thành,B2B
TGPP,60000016,KVMN,Độc lập,Nội thành,B2B
TGPP,60000021,KVMN,Độc lập,Nội thành,B2B
TGPP,60000025,KVMN,Độc lập,Nội thành,B2B
TGPP,60000027,KVMN,Độc lập,Nội thành,B2B
TGPP,60000029,KVMN,Độc lập,Nội thành,B2B
TGPP,60000031,KVMN,Độc lập,Nội thành,B2B
TGPP,60000036,KVMN,Độc lập,Nội thành,B2B
TGPP,60000038,KVMN,Độc lập,Nội thành,B2B
TGPP,60000039,KVMN,Độc lập,Nội thành,B2B
TGPP,60000041,KVMN,Độc lập,Nội thành,B2B
TGPP,60000042,KVMN,Độc lập,Nội thành,B2B
TGPP,60000044,KVMN,Độc lập,Nội thành,B2B
TGPP,60000046,KVMN,Độc lập,Nội thành,B2B
TGPP,60000047,KVMN,Độc lập,Nội thành,B2B
TGPP,60000050,KVMN,Độc lập,Nội thành,B2B
TGPP,60000052,KVMN,Độc lập,Nội thành,B2B
TGPP,60000057,KVMN,Độc lập,Nội thành,B2B
TGPP,60000058,KVMN,Độc lập,Nội thành,B2B
TGPP,60000060,KVMN,Độc lập,Nội thành,B2B
TGPP,60000061,KVMN,Độc lập,Nội thành,B2B
TGPP,60000062,KVMN,Độc lập,Nội thành,B2B
TGPP,60000063,KVMN,Độc lập,Nội thành,B2B
TGPP,60000066,KVMN,Độc lập,Nội thành,B2B
TGPP,60000072,KVMN,Độc lập,Nội thành,B2B
TGPP,60000079,KVMN,Độc lập,Nội thành,B2B
TGPP,60000085,KVMN,Độc lập,Nội thành,B2B
TGPP,60000087,KVMN,Độc lập,Nội thành,B2B
TGPP,60000093,KVMN,Độc lập,Nội thành,B2B
TGPP,60000100,KVMN,Độc lập,Nội thành,B2B
TGPP,60000102,KVMN,Độc lập,Nội thành,B2B
TGPP,60000104,KVMN,Độc lập,Nội thành,B2B
TGPP,60000105,KVMN,Độc lập,Nội thành,B2B
TGPP,60000110,KVMN,Độc lập,Nội thành,B2B
TGPP,60000118,KVMN,Độc lập,Nội thành,B2B
TGPP,60000126,KVMN,Độc lập,TT hành chính kinh tế,B2B
TGPP,60000130,KVMN,Độc lập,Nội thành,B2B
TGPP,60000132,KVMN,Độc lập,Nội thành,B2B
TGPP,60000133,KVMN,Độc lập,Nội thành,B2B
TGPP,60000139,KVMN,Độc lập,Nội thành,B2B
TGPP,60000144,KVMN,Độc lập,Nội thành,B2B
TGPP,60000145,KVMN,Độc lập,Nội thành,B2B
TGPP,60000146,KVMN,Độc lập,Nội thành,B2B
TGPP,60000147,KVMN,Độc lập,Nội thành,B2B
TGPP,60000151,KVMN,Độc lập,Nội thành,B2B
TGPP,60000152,KVMN,Độc lập,Nội thành,B2B
TGPP,60000154,KVMN,Độc lập,Nội thành,B2B
TGPP,60000157,KVMN,Độc lập,Nội thành,B2B
TGPP,60000158,KVMN,Độc lập,Nội thành,B2B
TGPP,60000160,KVMN,Độc lập,Nội thành,B2B
TGPP,60000166,KVMN,Độc lập,Nội thành,B2B
TGPP,60000168,KVMN,Độc lập,Nội thành,B2B
TGPP,60000169,KVMN,Độc lập,Nội thành,B2B
TGPP,60000173,KVMN,Độc lập,Nội thành,B2B
TGPP,60000176,KVMN,Độc lập,Nội thành,B2B
TGPP,60000181,KVMN,Độc lập,Nội thành,B2B
TGPP,60000183,KVMN,Độc lập,Nội thành,B2B
TGPP,60000185,KVMN,Độc lập,Nội thành,B2B
TGPP,60000188,KVMN,Độc lập,Nội thành,B2B
TGPP,60000190,KVMN,Độc lập,Nội thành,B2B
TGPP,60000196,KVMN,Độc lập,Nội thành,B2B
TGPP,60000198,KVMN,Độc lập,Nội thành,B2B
TGPP,60000199,KVMN,Độc lập,Nội thành,B2B
TGPP,60000219,KVMN,Độc lập,Khác,B2B
TGPP,60000226,KVMN,Độc lập,Nông thôn,B2B
TGPP,60000254,KVMN,Độc lập,Nội thành,B2B
TGPP,60000299,KVMN,Độc lập,Khác,B2B
TGPP,60000319,KVMN,Độc lập,Nội thành,B2B
TGPP,60000323,KVMN,Độc lập,Nông thôn,B2B
TGPP,60000335,KVMN,Độc lập,Nông thôn,B2B
TGPP,60000336,KVMN,Độc lập,Nông thôn,B2B
TGPP,60000381,KVMN,Độc lập,Nội thành,B2B
TGPP,60000412,KVMN,Độc lập,Khác,B2B
TGPP,60000418,KVMN,Độc lập,Nội thành,B2B
TGPP,60000435,KVMN,Độc lập,Nông thôn,B2B
TGPP,60000440,KVMN,Độc lập,Nông thôn,B2B
TGPP,60000444,KVMN,Độc lập,Nông thôn,B2B
TGPP,60000453,KVMN,Độc lập,Nông thôn,B2B
TGPP,60000458,KVMN,Độc lập,Nông thôn,B2B
TGPP,60000460,KVMN,Độc lập,Nông thôn,B2B
TGPP,60000466,KVMN,Độc lập,Nông thôn,B2B
TGPP,60000473,KVMN,Độc lập,Nông thôn,B2B
TGPP,60000486,KVMN,Độc lập,Nông thôn,B2B
TGPP,60000495,KVMN,Độc lập,Nội thành,B2B
TGPP,60000500,KVMN,Độc lập,Nông thôn,B2B
TGPP,60000503,KVMN,Độc lập,Nội thành,B2B
TGPP,60000504,KVMN,Độc lập,Nội thành,B2B
TGPP,60000526,KVMN,Độc lập,Nội thành,B2B
TGPP,60000527,KVMN,Độc lập,Nội thành,B2B
TGPP,60000606,KVMN,Độc lập,Khác,B2B
TGPP,60001380,KVMN,Độc lập,Nội thành,B2B
TGPP,60001423,KVMN,Độc lập,Nội thành,B2B
TGPP,60002070,KVMN,Độc lập,Nông thôn,B2B
TGPP,60002075,KVMN,Độc lập,Nông thôn,B2B
TGPP,60002136,KVMN,Độc lập,Nông thôn,B2B
TGPP,60002145,KVMN,Độc lập,Nông thôn,B2B
TGPP,60002170,KVMN,Độc lập,Nội thành,B2B
TGPP,60002228,KVMN,Độc lập,Nội thành,B2B
TGPP,60002239,KVMN,Độc lập,Nông thôn,B2B
TGPP,60002374,KVMN,Khác,Khác,B2B
TGPP,60002390,KVMN,Độc lập,Nội thành,B2B
TGPP,60002392,KVMN,Độc lập,Nội thành,B2B
TGPP,60002585,KVMN,Khác,Nội thành,B2B
TGPP,60002757,KVMN,Độc lập,Nội thành,B2B
TGPP,60002787,KVMN,Độc lập,Nội thành,B2B
TGPP,60002820,KVMN,Độc lập,Nội thành,B2B
TGPP,60002851,KVMN,Độc lập,Nội thành,B2B
TGPP,60002879,KVMN,Độc lập,Nội thành,B2B
TGPP,60002896,KVMN,Độc lập,Nông thôn,B2B
TGPP,60002939,KVMN,Độc lập,Nội thành,B2B
TGPP,60002991,KVMN,Độc lập,Nội thành,B2B
TGPP,60003019,KVMN,Độc lập,Nội thành,B2B
TGPP,60003042,KVMN,Độc lập,Nông thôn,B2B
TGPP,60003097,KVMN,Độc lập,Nội thành,B2B
TGPP,60003114,KVMN,Độc lập,Nội thành,B2B
TGPP,60003201,KVMN,Độc lập,Nội thành,B2B
TGPP,60003207,KVMN,Độc lập,Khác,B2B
TGPP,60003211,KVMN,Độc lập,Nội thành,B2B
TGPP,60003230,KVMN,Độc lập,Nội thành,B2B
TGPP,60003271,KVMN,Độc lập,Nội thành,B2B
TGPP,60003281,KVMN,Độc lập,Nông thôn,B2B
TGPP,60003290,KVMN,Độc lập,Nội thành,B2B
TGPP,60003291,KVMN,Độc lập,Nội thành,B2B
TGPP,60003297,KVMN,Độc lập,Nông thôn,B2B
TGPP,60003360,KVMN,Độc lập,Nông thôn,B2B
TGPP,60003377,KVMN,Độc lập,Nội thành,B2B
TGPP,60003417,KVMN,Độc lập,Nội thành,B2B
TGPP,60003472,KVMN,Độc lập,Nội thành,B2B
TGPP,60003475,KVMN,Khác,Nội thành,B2B
TGPP,60003485,KVMN,Độc lập,Nông thôn,B2B
TGPP,60003493,KVMN,Độc lập,Nông thôn,B2B
TGPP,60003495,KVMN,Độc lập,Nội thành,B2B
TGPP,40000166,KVMB,Khác,Khác,B2B
TGPP,40000170,KVMB,Khác,Khác,B2B
TGPP,40000171,KVMB,Khác,Khác,B2B
TGPP,60001484,KVMB,Độc lập,Nội thành,B2B
TGPP,60001497,KVMB,Độc lập,Nội thành,B2B
TGPP,60001538,KVMB,Độc lập,Nội thành,B2B
TGPP,60001605,KVMB,Độc lập,Nội thành,B2B
TGPP,60001622,KVMB,Độc lập,Nông thôn,B2B
TGPP,60001627,KVMB,Độc lập,Nội thành,B2B
TGPP,60001634,KVMB,Độc lập,Nội thành,B2B
TGPP,60001638,KVMB,Độc lập,Nội thành,B2B
TGPP,60001651,KVMB,Độc lập,Nội thành,B2B
TGPP,60001694,KVMB,Độc lập,Nông thôn,B2B
TGPP,60001695,KVMB,Độc lập,Nông thôn,B2B
TGPP,60001730,KVMB,Độc lập,Khác,B2B
TGPP,60001756,KVMB,Độc lập,Khác,B2B
TGPP,60001762,KVMB,Độc lập,Khác,B2B
TGPP,60001765,KVMB,Độc lập,Khác,B2B
TGPP,60001769,KVMB,Độc lập,Khác,B2B
TGPP,60001785,KVMB,Độc lập,Nội thành,B2B
TGPP,60001799,KVMB,Độc lập,Nông thôn,B2B
TGPP,60001870,KVMB,Độc lập,Nội thành,B2B
TGPP,60001888,KVMB,Độc lập,Nội thành,B2B
TGPP,60002031,KVMB,Độc lập,Nội thành,B2B
TGPP,60002132,KVMB,Độc lập,Khác,B2B
TGPP,60002611,KVMB,Độc lập,Nội thành,B2B
TGPP,60002705,KVMB,Độc lập,Nội thành,B2B
TGPP,60002790,KVMB,Độc lập,Khác,B2B
TGPP,60002906,KVMB,Độc lập,Nội thành,B2B
TGPP,60003021,KVMB,Độc lập,Nội thành,B2B
TGPP,60003036,KVMB,Độc lập,Nội thành,B2B
TGPP,60003038,KVMB,Độc lập,Nội thành,B2B
TGPP,60003064,KVMB,Độc lập,Khác,B2B
TGPP,60003243,KVMB,Độc lập,Nội thành,B2B
TGPP,60003341,KVMB,Độc lập,Nông thôn,B2B
TGPP,60003356,KVMB,Độc lập,Nội thành,B2B
TGPP,60003420,KVMB,Độc lập,Nông thôn,B2B
TGPP,60003498,KVMB,Độc lập,Nội thành,B2B
TGPP,60003557,KVMB,Độc lập,Nội thành,B2B
TGPP,20000060,Trung Quốc,Độc lập,Khác,B2B
TGPP,20000061,Trung Quốc,Độc lập,Khác,B2B
TGPP,20000062,Trung Quốc,Độc lập,Khác,B2B
TGPP,20000064,Trung Quốc,Độc lập,Khác,B2B
TGPP,20000065,Trung Quốc,Khác,Khác,B2B
TGPP,20000070,Trung Quốc,Độc lập,Khác,B2B
TGPP,20000071,Trung Quốc,Độc lập,Khác,B2B
TGPP,20000072,Trung Quốc,Độc lập,Khác,B2B
TGPP,20000075,Trung Quốc,Độc lập,Khác,B2B
TGPP,20000190,Trung Quốc,Độc lập,Khác,B2B
TGPP,20000191,Trung Quốc,Độc lập,Khác,B2B
TGPP,20000195,Trung Quốc,Độc lập,Khác,B2B
TGPP,40000045,Trung Quốc,Khác,Khác,B2B
TGPP,40000051,Trung Quốc,Khác,Khác,B2B
TGPP,40000052,Trung Quốc,Khác,Khác,B2B
TGPP,40000053,Trung Quốc,Khác,Khác,B2B
TGPP,40000055,Trung Quốc,Khác,Khác,B2B
TGPP,40000077,Trung Quốc,Khác,Khác,B2B
TGPP,40000080,Trung Quốc,Khác,Khác,B2B
TGPP,40000081,Trung Quốc,Khác,Khác,B2B
TGPP,40000082,Trung Quốc,Khác,Khác,B2B
TGPP,40000085,Trung Quốc,Khác,Khác,B2B
TGPP,40000086,Trung Quốc,Khác,Khác,B2B
TGPP,40000110,Trung Quốc,Khác,Khác,B2B
TGPP,40000111,Trung Quốc,Khác,Khác,B2B
TGPP,40000112,Trung Quốc,Khác,Khác,B2B
TGPP,60002105,Trung Quốc,Khác,Khác,B2B
TGPP,60002106,Trung Quốc,Khác,Khác,B2B
TGPP,60002107,Trung Quốc,Khác,Khác,B2B
TGPP,60002108,Trung Quốc,Khác,Khác,B2B
TGPP,60002789,Khác,Khác,Khác,B2B
TGPP,60003422,Trung Quốc,Khác,Khác,B2B
TGPP,60003426,Trung Quốc,Khác,Khác,B2B
TGPP,60003428,Trung Quốc,Khác,Khác,B2B
TGPP,60003430,Trung Quốc,Khác,Khác,B2B
TGPP,1300,Trung Quốc,Khác,Khác,B2B
TGPP,30000040,KVMTR,Khác,Khác,B2B
TGPP,30000087,KVMTR,Khác,Khác,B2B
TGPP,30000090,KVMTR,Khác,Khác,B2B
TGPP,30000117,KVMTR,Khác,Khác,B2B
TGPP,30000135,KVMTR,Khác,Khác,B2B
TGPP,30000140,KVMB,Khác,Khác,B2B
TGPP,50000094,KVMN,Khác,Nội thành,B2B
TGPP,60001199,KVMB,Độc lập,Khác,B2B
TGPP,60001211,KVMB,Độc lập,Khác,B2B
TGPP,60001214,KVMB,Độc lập,Khác,B2B
TGPP,60001218,KVMB,Độc lập,Khác,B2B
TGPP,60001222,KVMB,Độc lập,Khác,B2B
TGPP,60001239,KVMTR,Độc lập,Nông thôn,B2B
TGPP,60001240,KVMTR,Độc lập,Nông thôn,B2B
TGPP,60001243,KVMTR,Độc lập,Nông thôn,B2B
TGPP,60001250,KVMTR,Độc lập,Nội thành,B2B
TGPP,60001261,KVMTR,Độc lập,Nông thôn,B2B
TGPP,60001282,KVMTR,Khác,Nội thành,B2B
TGPP,60001292,KVMTR,Độc lập,Nông thôn,B2B
TGPP,60001294,KVMTR,Độc lập,Nông thôn,B2B
TGPP,60001295,KVMTR,Độc lập,Nông thôn,B2B
